0,1,2,3,4,5,6,7,8,9,10,11
,Dawki,"Terrace building, Jaintia Hills District",102,2,,,4,,,3,
,Khliehriat,"O/o BDO, C & R.D. Block-Khliehriat",102,2,,,6,,,3,
,Nongstoin,"Office Premises of E.E, PHED",104,2,,,4,,,2,
,Shillong,"Boards Office Permises, Lumpyngngad",104,2,,,2,,,2,
,,State Tuberculosis Hospital,104,2,,,12,,,6,
,,"Forest Rest House, Polo Hills",104,2,,,7,,,3,
,,"41/2 mile, Mylliem Range Office",104,2,,,4,,,2,
,Tura,"PHED, Araimille, West Garo Hills District",103,2,,,3,,,2,
,"Umiam /
Umsning","Umiam Industrial Complex, Ri-Bhoi District",104,2,,,6,,,3,
Mizoram,Aizawl,"Khatla, M.G-Road, Mizoram SPCB",101,2,,,5,,,2,
,,Laipuitlang,96,2,,,2,,,2,
,,Bawngkawn,101,2,,,3,,,2,
,,"Dawrpui Y.M.A, Building, Dawrpui",101,2,,,2,,,2,
,,"Lengpui Airport, Model Veng, Lengpui",102,2,,,2,,,2,
,Champhai,"D.T.O Office Building, Kahrawt veng",95,2,,,2,,,2,
,,"Lalzidinga building, Vengthlang",95,2,,,5,,,2,
,Kolasib,"H. Lalthuama Building, Project Veng",97,2,,,2,,,2,
,,"Synod Bookroom, Building Diakkawn",96,2,,,2,,,2,
,Lunglei,"Thangkhuma Building, Salem Veng",93,2,,,2,,,2,
,,"K.Lalliantluanga, Chanmari I, Lunglei",93,2,,,2,,,2,
Nagaland,Dimapur,Bank Colony,116,2,,,2,,,2,
,,Dhobinala,107,2,,,2,,,2,
,Kohima,Opposite NST Office,114,2,,,2,,,2,
,,Opposite War Cemetery,108,2,,,2,,,2,
Odisha,Angul,Industrial Estate,106,3,,,20,,,9,
,,NALCO Township,105,5,,,15,,,10,
,Balasore,Sahadevkhunta,104,2,,,4,,,2,
,,DIC office,104,2,,,3,,,2,
,,Rasalpur near Balgopalpur I/A,104,6,,,10,,,8,
,Berhampur,Regional Office Orissa SPCB,103,2,,,20,,,2,
,Bhubneshwar,Capital Police Station,69,2,,,5,,,2,
,,IRC Village,93,2,,,8,,,2,
,,Office Premises Bhubaneswar,92,2,,,5,,,2,
,,"Water works, Palasuni, Rasalgarh",75,2,,,5,,,2,
,,"Patrapara, Khandagiri",99,2,,,2,,,2,
,,Chandrashekharpur,95,2,,,15,,,2,
,Bonaigarh,"Govt. Hospital Bonai At/Po/PS-Bonai Dist-
Sudargarh",105,5,,,18,,,8,
,Cuttack,"Traffic Tower, Badambadi",56,3,,,6,,,5,
,,P.H.D Office Barabati,105,2,,,8,,,4,
,,"R.O. Cuttack Office, Surya Vihar",105,2,,,9,,,4,
,Jharsuguda,R.O. Building Cox colony,106,5,,,24,,,10,
,,"TRL Colony, M/s. TRL Krosaki Refractories Ltd.
PO: Bhepahar,",100,4,,,11,,,7,
,Kalinga Nagar,RO Office Building,89,2,,,3,,,3,
,,"Maintenance Office of M/s NINL, Duburi",95,2,,,2,,,2,
,Konark,Konark Police Station,109,2,,,4,,,2,
,Paradeep,On roof of PPT Staff Quarter,98,14,,,35,,,19,
,,On roof of PPL Gueest,98,12,,,33,,,19,
,,On roof of STP building IFFCO,64,12,,,26,,,18,
,Puri,Sadar police station,55,2,,,2,,,2,
,,Town Police Station,90,2,,,5,,,2,
,Rajgangpur,"DISIR, Rajgangpur",87,6,,,50,,,17,
,Rayagada,Regional Office Orissa SPCB,105,2,,,19,,,4,
,,"LPS High School, Jaykaypur",104,2,,,14,,,4,
,Rourkela,"Regional Office, ORPB",104,2,,,13,,,7,
,,Kalunga Industrial Estate,88,7,,,20,,,14,
,,"IDL Police Out-post, Sonaparbat",105,5,,,15,,,6,
,,"Kuarmunda, Sundergarh",105,4,,,15,,,7,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,Sambalpur,"Filter Plant, PHD Office, Modipara",100,3,,,39,,,5,
,Talcher,Coal Field Area,104,5,,,13,,,10,
,,T.T.P.S.Colony,104,6,,,15,,,10,
Puducherry,Karaikal,"B.Ed College (PKCE), Nehru Nagar",89,2,,,12,,,4,
,,"Govt. Tourist Home, Kovilpathu",93,2,,,19,,,4,
,,"M/s Puducherry Power Corporation Limited,
Polagam, T.R. Pattinam,",89,2,,,16,,,4,
,Puducherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar",84,3,,,5,,,4,
,,PIPDIC Ind. Estate Mettupalayam,74,3,,,5,,,4,
,,Chamber Of Commerce,87,3,,,6,,,4,
Punjab,"Aligarh
(Jagraon)*","Forest Office, Vill:Aligarh, Teh:Jagraon",119,4,,,9,,,6,
,Amritsar,R.O. Focal Point (earlier Nagina soap factory),99,9,,,15,,,12,
,,"Vinod Chilling Center / Kochar Bhavan (earlier
A-1,Platers)",94,10,,,16,,,13,
,"Aspal Khurd
(Tapa)*","Vill:Aspal Khurd, Teh:Tapa",49,4,,,8,,,5,
,Bhatinda,"Bathinda Milk Producers, Dabwali Road",59,4,,,7,,,5,
,"Binjon
(Garshankar)*","CHC, Vill:Binjon, Teh: Garshankar",87,3,,,10,,,6,
,"Bishanpura
(Payal)*","Longowalia Yarns (Unit-II), Vill-Bishanpura, Teh:
Payal",119,4,,,15,,,6,
,"Changal
(Sangrur)*","Mastuana Sahib, Vill:Changal, Teh:Sangrur",36,4,,,7,,,5,
,"Chowkimann
(Jagraon)*","Ludhiana College of Engineering,
Vill:Chowkimann, Teh:Jagraon",133,3,,,10,,,6,
,"Dera Baba
Nanak",C-PYTE Building,115,4,,,8,,,7,
,Dera Bassi,"Punjab Chem and Crop Protection, Bhanakarpur
Rd",115,4,,,10,,,7,
,,"Winsome Yarns Ltd., Barwala Road",109,5,,,9,,,6,
,"Fatehpur
(Samana)*","Baba Banda Singh Bahadur College,
Vill:Fatehpur, Teh:Samana",33,4,,,7,,,5,
,Gobindgarh,"Modi Oil and General Mills, Mandi",132,6,,,9,,,7,
,,"Raj Steel Rolling Mills, Mandi",118,6,,,9,,,7,
,,"United Rolling Mills, Mandi Gobindgarh",117,6,,,9,,,7,
,"Guru Ki Dhab
(Kotkapura)*","Vil:Guru Ki Dhab / Basti Himmatpura,
Teh:Kotkapura",5,4,,,5,,,5,
,"Jaito Sarja
(Batala)*","Royal Nursing College, Vill: Jaito Sarja, Teh:
Batala",96,3,,,11,,,7,
,Jalandhar,Municipal Council Tubewell No. 27,106,9,,,15,,,11,
,,Regional Office,119,9,,,14,,,11,
,,"Punjab Maltex , Kapurthala Road",107,8,,,14,,,10,
,,Focal Point,114,9,,,17,,,12,
,Khanna,"Markfed Vanaspati, Khanna",57,7,,,12,,,9,
,,"AS School, Khanna",123,4,,,11,,,8,
,"Kharaori
(Sirhind)*","Vill:Kharaori, Teh:Sirhind",116,4,,,6,,,5,
,"Kotladoom
(Ajnala)*","Satyam College, Ramtirath Road, Vill:
Kotladoom, Teh: Ajnala",65,6,,,9,,,7,
,"Lakho ke
Behram
(Ferozpur)*","Vill:Lakho ke Behram, Teh:Ferozpur",9,4,,,7,,,5,
,Ludhiana,Bharat Nagar Chowk / RO Gill Road,131,4,,,17,,,8,
,,"Nahar Spining Mlls, Dholewal Chawk",136,4,,,16,,,9,
,,"Ludhiana Coop. Milk Producer, Ferozpur Rd",141,5,,,14,,,9,
,,"PPCB Office Building, Vishavkarma Chowk",151,7,,,19,,,11,
,"Mrar Kalan
(Muktsar)*","Vill: Mrar Kalan, Teh:Muktsar",27,4,,,7,,,5,
,"Mukandpur
(Nawashahar)*","Govt. Senior Sec. School, Vill:Mukandpur,
Teh:Nawashahar",16,7,,,10,,,8,
,"Mureedke
(Batala)*","Johal Farm, Vill: Mureedke, Teh: Batala",61,2,,,11,,,7,
,"Naudhrani
(Malerkotla)*","Vill:Naudhrani, Teh:Malerkotla",43,4,,,6,,,5,
,Naya Nangal,Punjab Alkalis & Chemicals Ltd,108,5,,,8,,,6,
,,"M/s NFL Guest House,Naya Nangal",123,4,,,9,,,6,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,Patiala,"Ceylon Industries, Factory Area, Patiala",110,4,,,7,,,5,
,,"Fire Brigade Station, Bahera Road, Patiala",114,4,,,7,,,5,
,"Peer
Mohammad
(Jalalabad)*","Vill:Peer Mohammad, Teh:Jalalabad",30,4,,,7,,,5,
,"Poohli
(Bhatinda)*","Vill: Poohli, Teh:Bhatinda",32,3,,,8,,,5,
,"Qila Bharian
(Sangrur)*","Gurdwara Gangsar Sahib, Vill:Qila Bharian,
Teh:Sangrur",27,4,,,7,,,5,
,"Rakhra
(Patiala)*","Shree Ganesh Group of Institute, Vill:Rakhra,
The:Patiala",86,4,,,8,,,5,
,"Rohila
(Samrala)*","Gopimal Kaur Sain Industries Pvt. Ltd, Vil:Rohila,
Teh:Samrala",66,4,,,8,,,6,
,"Tirathpur
(Amritsar I)*","United ITI, Vill: Tirathpur, Teh:Amritsar I (earlier
Sriguru Harkishan Public School,Rasulpur Kalan)",25,6,,,8,,,7,
Rajasthan,Alwar,Rajasthan State Pollution Control Board,101,4,,,12,,,8,
,,Gaurav Solvex Ltd. MIA,98,6,,,16,,,10,
,,"RIICO Pump House, MIA",102,5,,,17,,,10,
,Bharatpur,Khadi Gramoday Samiti,91,5,,,10,,,8,
,,RIICO office Building,100,6,,,10,,,7,
,,"RO, Building",97,5,,,8,,,7,
,Bhiwadi,R.O.Building,101,14,,,41,,,21,
,,UIT Guest House,101,14,,,34,,,20,
,,Uttam Strips Ltd,96,15,,,39,,,21,
,Chittorgarh,"Regional Office building, RSPCB, Near FCI
Godown, Chnaderiya",91,5,,,9,,,7,
,,"Veterinary Hospital, Meeranagar",89,5,,,9,,,6,
,,"PHED Pump House, Segawa",90,4,,,8,,,6,
,Jaipur,Ajmeri Gate,100,6,,,17,,,8,
,,"RJPB Office,Jhalana Doongari",94,5,,,11,,,7,
,,"District Education Officer, Chandpole",94,5,,,10,,,8,
,,"RIICO Office, M.I.A.",96,5,,,17,,,7,
,,"RSPCB, Vidyadhar Nagar",97,5,,,19,,,8,
,,VKIA,93,6,,,22,,,10,
,,"22,Godam, RIICO Office",96,5,,,36,,,7,
,,Mansarovar Nagar Niigam,100,5,,,32,,,7,
,,RIICO Office Sitapura Industrial Area,99,4,,,19,,,8,
,Jodhpur,"DIC Office, Industrial Estate",102,5,,,12,,,7,
,,Sojati Gate,90,5,,,14,,,7,
,,"Basni Industrial Area, RIICO Office",103,5,,,12,,,7,
,,Maha Mandir Police Thane,87,5,,,10,,,6,
,,"Office of Housing Board, Chopasani Road",96,5,,,11,,,6,
,,Shastri Nagar Police Thana,106,5,,,10,,,7,
,,Kudi Mahila Thana,83,5,,,10,,,6,
,,Sangariya Police Choki,87,5,,,11,,,7,
,,SoorsagarThana,83,5,,,10,,,6,
,Kota,"Regional Office, RJPB, Anantpura",103,5,,,24,,,8,
,,Municipal Corporation Building,99,5,,,12,,,8,
,,Samcore Glass Ltd.,97,5,,,14,,,7,
,,FireStation Nagar Nigam Shrinathpuram,102,5,,,10,,,7,
,,"RajasthanTechnical University,Rawatbhata",91,5,,,9,,,7,
,,"Sewage Treatment Plant, Balita, Kota",99,5,,,9,,,6,
,Udaipur,Ambamata,107,3,,,18,,,5,
,,Town Hall,104,3,,,22,,,10,
,,"Regional Office,MIA",101,4,,,26,,,12,
Sikkim,Chungthang,Chungthang,69,3,,,9,,,6,
,Gangtok,"White Hall Complex, Tasi view point",66,3,,,11,,,5,
,,"Metro Point Hospital Complex, Forest
Secretariate Deorali",68,3,,,11,,,5,
,Mangan,Mangan Police Station,66,2,,,11,,,5,
,Namchi,Namchi,76,3,,,8,,,5,
,Pelling,The Pelling Girls Hostel,89,2,,,15,,,7,
,Rangpo,Rangpo Fire Station,76,4,,,18,,,10,
,Ravangla,Ravangla Range Office,76,3,,,9,,,5,
,Singtam,Police Station Building,75,5,,,59,,,9,
Tamilnadu,Chennai,"Govt. High School, Manali",85,12,,,17,,,14,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,Kathivakkam,94,10,,,16,,,14,
,,Thiruvottiyur,76,11,,,16,,,13,
,,Madras Medical College,94,2,,,35,,,4,
,,"NEERI, CSIR CampusTaramani",97,2,,,24,,,3,
,,Thiruvottiyur Municipal Office,96,2,,,58,,,6,
,,Adiyar,92,5,,,12,,,8,
,,Kilpauk,87,7,,,13,,,9,
,,Thiyagaraya Nagar,93,8,,,14,,,10,
,,Nunbakgum,96,4,,,19,,,10,
,,Anna Nagar,90,6,,,12,,,9,
,Coimbatore,"Poniarajapuram, On the top of DEL",88,4,,,10,,,5,
,,G.D.Matric Hr.Sec.School,96,4,,,11,,,5,
,,"SIDCO Office, Coimbatore/ Kurichi",97,4,,,9,,,6,
,Cuddalore,Eachangadu Village,95,8,,,28,,,12,
,,SIPCOT (Project Office),95,9,,,40,,,11,
,,"DEE Office, Cuddalore",94,10,,,17,,,13,
,Madurai,Highway (Project -I) Building,97,7,,,18,,,11,
,,Fenner (I) Ltd. Kochadai,101,7,,,22,,,12,
,,Kunnathur Chatram Avvai Girls HS School,95,7,,,22,,,14,
,Mettur,Raman Nagar,106,6,,,11,,,7,
,,SIDCO,121,6,,,11,,,8,
,Salem,Sowdeswari College Building,94,5,,,11,,,8,
,Trichy,Gandhi Market,92,11,,,25,,,18,
,,Main Guard Gate,97,13,,,27,,,18,
,,Bishop Heber College,96,9,,,22,,,14,
,,Golden Rock,90,11,,,19,,,15,
,,Central Bus Stand,91,8,,,24,,,18,
,Tuticorin,"Fisheries College, Tuticorin Sipcot",101,9,,,18,,,13,
,,Raja Agencies,101,9,,,20,,,14,
,,AVM Jewellery Building,92,9,,,18,,,13,
Telangana,Adilabad,"Building of SCCL Manadamarri Club
Mandamarri, Mancherial",86,5,,,9,,,6,
,Hyderabad,Balanagar,107,3,,,7,,,5,
,,"Tarnaka, NEERI Lab. IICT Campus",90,2,,,13,,,6,
,,"Nacharam, Industrial Estate",90,2,,,15,,,6,
,,ABIDS Circle General Post Office,93,2,,,15,,,6,
,,"Uppal, Modern Foods & Industries IDA",107,4,,,6,,,5,
,,Jublee Hills,107,4,,,6,,,5,
,,Paradise,107,4,,,6,,,5,
,,Charminar,107,3,,,7,,,5,
,,Zoo Park,104,2,,,12,,,4,
,,"Jeedimetla Industrial Estate, Rangareddy Distt.",107,4,,,8,,,5,
,Karimnagar,"On the terrace of the DIC building, Karimnagar",91,5,,,11,,,9,
,Khammam,Station Name: CER Club Khamam,85,3,,,14,,,9,
,,Jalasoudha building,79,3,,,12,,,9,
,Kothur,Mehaboobnagar,91,4,,,13,,,9,
,Nalgonda,AP PCB Nalgonda,73,5,,,11,,,6,
,,"M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal
(V & M)",71,6,,,11,,,6,
,Nizamabad,"subashnagar,nizamabad dist",88,3,,,9,,,6,
,Patencheru,"Police Station, Medak, Ramachadrapuram",84,5,,,11,,,6,
,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",85,6,,,39,,,9,
,Sangareddy,Pashamylaram/Municipal Office,103,2,,,78,,,9,
,,Regional office Building of SANGAREDDY,77,4,,,7,,,5,
,,"M/s. Mylan Industries, Gaddapothara",77,4,,,11,,,6,
,Warangal,"KUDA Office, Hanumakonda",88,4,,,43,,,9,
,,"Mee-Seva Building ,Municipal Complex",86,3,,,11,,,8,
Tripura,Agartala,"SPCB, Pavivesh Bhawan, Pandit Nehru Complex,
Gorkhabasti, Kunjaban",104,5,,,23,,,11,
,,"Bordowali Bipani Bitan, Agartala MC, Bordowali,
Near Nagerjala",104,6,,,37,,,12,
"Uttar
Pradesh",Agra,"Regional Office, Bodla",92,3,,,7,,,5,
,,Nunhai,94,4,,,9,,,6,
,,Taj Mahal,299,2,,,26,,,4,
,,DIC Nunhai,109,2,,,16,,,4,
,,Etmad-uddaulah,113,2,,,13,,,4,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,Rambagh,111,2,,,21,,,4,
,Allahabad,Square crossing circle of Laxmi Talkies,99,2,,,15,,,5,
,,Bharat Yantra Nigam Ltd,99,2,,,15,,,4,
,,Alopibagh/Sewage Pumping Stations,117,2,,,12,,,4,
,,Jhonstonganj/co-operative Bank,115,2,,,12,,,4,
,,Rambagh/Parag Dairy,105,2,,,9,,,3,
,Anpara,"Anpara Colony, Sonabhadra",96,11,,,23,,,18,
,,"Renusagar Colony, Sonabhadra",94,11,,,24,,,18,
,Bareily,IVRI Izatnaga,105,7,,,45,,,13,
,,"Indian oetrol pump, Civil Line",104,10,,,44,,,16,
,Firozabad,Center for Development of Glass Industry,103,6,,,12,,,8,
,,Tilak Nagar,103,6,,,12,,,8,
,,Raza ka Tal,105,6,,,11,,,8,
,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",99,5,,,37,,,18,
,,"Indira Chowk, J.P. Nagar",100,6,,,43,,,22,
,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",86,6,,,51,,,22,
,,Bulandshaar Road Industrial Area,95,7,,,46,,,20,
,Gorakpur,"M. M.M. Engineering College, Gorakhpur",105,2,,,25,,,11,
,,"India Glycol Ltd. Gida, Gorakhpur",105,20,,,58,,,40,
,,"Jalkal, Muncipal Corporation, Golghar",105,13,,,52,,,34,
,Jhansi,Manik Chawk / Jal chauraha,119,4,,,8,,,6,
,,Veeranga Nagar,119,4,,,16,,,6,
,Kanpur,"Forest & Training Centre, Kidwai Nagar",94,6,,,9,,,8,
,,"Chamber Of Commerce Darshanpurwa / Deputy
ka Parao",90,7,,,9,,,8,
,,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site-
5",78,7,,,9,,,8,
,,"Head Post Office, Govind Nagar / Dabauli /
Shastri NGR",71,6,,,9,,,8,
,,Jajmau / Awas Vikas,90,6,,,9,,,8,
,,"I.I.T. Campus, Kanpur",82,2,,,2,,,2,
,,Indian Institute of Technology,48,2,,,2,,,2,
,,"Dada Nagar, Kanpur",84,2,,,106,,,14,
,,"Ramadevi, Kanpur",90,2,,,11,,,4,
,Khurja,Central Glass & Ceramic Research Institute,88,18,,,25,,,22,
,,Ahirpara,83,16,,,22,,,20,
,Lucknow,Mahanagar,89,4,,,15,,,8,
,,"Chandganj Garden, Aliganj",97,4,,,12,,,8,
,,"Kapoor Hotel, Hazratganj",87,5,,,13,,,9,
,,Talkatora,90,5,,,12,,,8,
,,Aminabad / S.M.K Chowk,108,5,,,25,,,9,
,,Nagar Nigam,101,5,,,16,,,8,
,,"Ansal Technical Institute Campus, Ansal API",95,5,,,13,,,8,
,,Vikas Khand,108,2,,,6,,,2,
,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",69,8,,,13,,,11,
,,"CETP, Industrial Area, Mathura",70,10,,,16,,,13,
,Meerut,Begum Bridge,60,7,,,12,,,8,
,,Thana Railway Road / Kesarganj,53,6,,,8,,,6,
,Moradabad,"Hindu College, Station Road",98,8,,,50,,,23,
,,"Central Police Hospital, Civil Lines",99,5,,,39,,,17,
,Noida,"UP PPCB, E-12/1, Sector - 1",91,7,,,53,,,19,
,,Gee-Pee Electroplating and Eng. Work,89,6,,,53,,,21,
,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",69,7,,,10,,,9,
,,Khoya mandi Tiraha Lucknow Road Raebareli,70,11,,,16,,,14,
,,Amawan Road Ind. Area Raebareli,69,10,,,12,,,11,
,Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",74,13,,,25,,,17,
,,"UPCL S.E. Office, Near Clock Tower",81,13,,,28,,,18,
,Unnao,"H. No. 5, Krishna Nagar",97,7,,,13,,,9,
,,"IIA Building, Industrial Area, Site 10",89,8,,,12,,,9,
,Varanasi,"Regional Office, Jawahar Nagar",99,4,,,16,,,9,
,,Sigra,92,4,,,32,,,9,
,,Saket Nagar,31,4,,,12,,,9,
,,Banaras Hindu University,32,4,,,11,,,8,
,,Chandpur,29,6,,,13,,,11,
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",10,21,,,27,,,23,
,,"Clock Tower, PWD Guest House",15,23,,,26,,,25,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,Himalaya Drug Co. Near ISBT,11,25,,,27,,,26,
,Haldwani,Govt. Women Hospital,101,7,,,32,,,11,
,Haridwar,"SIDCUL, Haridwar",6,13,,,22,,,19,
,Kashipur,"BSNL Office, Kashipur",48,10,,,24,,,14,
,Rishikesh,Nagar Palika Parishad,15,16,,,23,,,21,
,Rudrapur,SIDCUL Office,57,10,,,24,,,13,
West Bengal,Alipurduar,Rabikanta High School,103,2,,,6,,,2,
,Amtala,"P Roy Industrial Training Institute, Amtala",103,2,,,7,,,3,
,Asansol,Asansol Municipal Corporation,104,10,,,77,,,13,
,,"Kangsabati Spinning Mill, Barjora",104,10,,,20,,,12,
,,"Burnpur Town Department, Burnpur",113,10,,,19,,,12,
,Baharampur,Md. Mozzammal Hossain's House,104,8,,,14,,,11,
,Balurghat,Balurghar College,104,2,,,7,,,2,
,Bankura,Bankura Municipility,104,2,,,8,,,2,
,Barasat,"Barasat Municipility, 73 Rishi Bankim Chandra
Road",104,5,,,21,,,10,
,Bardhaman,"Bardhaman Town, Rajbati",103,2,,,11,,,2,
,Barrackpore,Barrackpore Municiaplity,104,5,,,25,,,10,
,,Dum Dum Telephone Exchange,104,4,,,26,,,9,
,,Khardah Municipality,104,7,,,27,,,10,
,Baruipur,"Bauipur Police Station, Baruipur",105,2,,,10,,,3,
,Bolpur,Bolpur Municipility,104,2,,,8,,,2,
,Chinsura,"Chinsura Municipility, Pipulpati Auto Stand",104,3,,,11,,,5,
,Coochbehar,ABM Seal College,103,2,,,6,,,2,
,,"Uttarbanga Krishi Visvavidyalaya, Pundibari",104,2,,,6,,,2,
,Dankuni,"Krishnanagar Municipility, Dankuni",104,2,,,12,,,5,
,Darjeeling,Bose Institute Campus,104,2,,,5,,,2,
,Durgapur,"DMC Water Works, Angadpur",104,10,,,21,,,12,
,,"Kwality Hotel, Bhiringi More, Benachiti",104,10,,,21,,,12,
,,"Bidhannagar, PCBL Club, Muchipara",104,3,,,24,,,13,
,,"Dew India Limited, PCBL More, Durgapur",104,9,,,21,,,12,
,Ghatal,"Annapurna Hotel, Ghatal-Panskura Bus Stand",104,9,,,16,,,12,
,Haldia,"Debhog Milan Viyapith, Bhabanipur",104,9,,,16,,,12,
,,"Bhunia Raichak, Driver's Hut, Bhunia",104,11,,,21,,,16,
,,"Supermarket Building, Durgachak",104,10,,,20,,,14,
,,WBIIDC Ruchi Soya Ind. Durgachak,104,10,,,21,,,15,
,Howrah,Howrah Municipal Corporation,146,6,,,21,,,11,
,,"Naskarpara Pump House, Ghuseri",146,5,,,20,,,10,
,,"CDS & Health Centre, Bator",146,4,,,15,,,9,
,,"Howrah Municipality School, Bandhaghat",146,6,,,23,,,13,
,Jalpaiguri,Raninagar Jalpaigur,104,2,,,5,,,2,
,Jhargram,Jhargram,104,9,,,14,,,11,
,Kalimpong,Kalimpong Municipality,104,2,,,5,,,2,
,Kalyani,"College of Medicine & JNM Hospital, Kalyani
Industrial Area",104,7,,,16,,,10,
,Kharagpur,"AMD Building, TATA Bearing",104,11,,,20,,,16,
,Kolkata,"Salt Lake, Rooftop of CK Market",143,2,,,10,,,4,
,,"KMC office Building, Moulali",157,2,,,19,,,8,
,,"Minto Park, Inside Park AJC Bose Road",147,2,,,13,,,6,
,,"Dunlop Bridge, National Sample Survey",144,2,,,20,,,9,
,,"Behala Chowrasta, Traffic Guard Building",157,2,,,17,,,7,
,,"Upanagari Sporting Club, Baishnabghata",144,2,,,2,,,4,
,,"Cossipore Police Station, B.T. Road",96,2,,,69,,,12,
,,"Dalhousie Square, Lal Bazzar Police Headqtr.",94,2,,,86,,,9,
,,Kasba,92,2,,,41,,,5,
,,RD Kasba,80,1,,,37,,,4,
,,"Infectious Diseases & BG Hospital, Beliaghata",143,2,,,10,,,4,
,,"CESC Building, Mandeville Gardens, Gariahat",144,2,,,15,,,5,
,,"Administrative Building, Hyde Road",143,2,,,18,,,8,
,,"KMC Drainage, Pumping Station, 9 Mominpur
Road, Mominpur",143,2,,,10,,,4,
,,Paribesh Bhawan,143,2,,,12,,,5,
,,"Milan Tirtha Club, Picnic Garden",144,2,,,8,,,4,
,,"Public Health Engineering Office Building,
Rajarhar",144,2,,,7,,,3,
,,"Tennis Club Biulding, 45-46 Canal West Road,",147,2,,,16,,,7,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,"Fariapukur, Shyambazar",,,,,,,,,
,,"Elite India Rubber Products Pvt.Ltd., Topsia",143,2,,,19,,,7,
,,"Maniktala Fire Station Building, 17, Bagmari
Lane, Ultadanga",144,2,,,15,,,7,
,,Tollygunge,142,2,,,10,,,4,
,Krishnanagar,"Krishnanagar Municipility, TN Thakur Road",104,8,,,20,,,10,
,Malda,"WBPCB Office, Paribesh Bhaban, Vill.
Abhirampur",104,2,,,5,,,2,
,Medinipur,Vidyasagar University,104,9,,,15,,,11,
,Purulia,Purulia Municipility,104,2,,,10,,,2,
,Raigunj,Raigunj College,103,2,,,6,,,2,
,Rampurhat,Rampurhat Municipility,104,2,,,7,,,2,
,Ranaghat,"Ranaghat Municipility, 11 school lane",104,7,,,20,,,10,
,Raniganj,Raniganj Municipality,104,11,,,20,,,12,
,,"Mangalpur, SKS School Mangalpur",104,10,,,19,,,12,
,,Jamuria Municipality,104,11,,,20,,,12,
,Rishra,Rishra Municipility,104,3,,,14,,,5,
,Sankrail,Bharat Co-op Housing Society,104,2,,,13,,,5,
